part,spare,seed,rep,pass_name,seconds
A-L1,0,4,4,CheckMap,8.0108642578125e-05
A-L1,0,4,4,FilterOpNodes,0.00035643577575683594
A-L1,0,4,4,Size,8.106231689453125e-06
A-L1,0,4,4,Depth,0.00024819374084472656
A-L1,0,4,4,FixedPoint,1.7881393432617188e-05
A-L1,0,4,4,Optimize1qGatesDecomposition,0.002451658248901367
A-L1,0,4,4,GatesInBasis,0.00012946128845214844
A-L1,8,0,0,ContainsInstruction,1.1205673217773438e-05
A-L1,8,0,0,UnitarySynthesis,7.62939453125e-06
A-L1,8,0,0,HighLevelSynthesis,0.00011849403381347656
A-L1,8,0,0,BasisTranslator,0.0011606216430664062
A-L1,8,0,0,InverseCancellation,0.0002334117889404297
A-L1,8,0,0,ContractIdleWiresInControlFlow,5.0067901611328125e-06
A-L1,8,0,0,SetLayout,5.412101745605469e-05
A-L1,8,0,0,FullAncillaAllocation,3.719329833984375e-05
A-L1,8,0,0,EnlargeWithAncilla,2.4080276489257812e-05
A-L1,8,0,0,ApplyLayout,0.00022912025451660156
A-L1,8,0,0,CheckMap,8.440017700195312e-05
A-L1,8,0,0,FilterOpNodes,0.00034999847412109375
A-L1,8,0,0,Size,6.198883056640625e-06
A-L1,8,0,0,Depth,0.00021314620971679688
A-L1,8,0,0,FixedPoint,1.71661376953125e-05
A-L1,8,0,0,Optimize1qGatesDecomposition,0.0016965866088867188
A-L1,8,0,0,GatesInBasis,0.0001270771026611328
A-L1,8,0,1,ContainsInstruction,9.775161743164062e-06
A-L1,8,0,1,UnitarySynthesis,6.9141387939453125e-06
A-L1,8,0,1,HighLevelSynthesis,0.0001239776611328125
A-L1,8,0,1,BasisTranslator,0.0013017654418945312
A-L1,8,0,1,InverseCancellation,0.00023889541625976562
A-L1,8,0,1,ContractIdleWiresInControlFlow,7.152557373046875e-06
A-L1,8,0,1,SetLayout,7.462501525878906e-05
A-L1,8,0,1,FullAncillaAllocation,3.790855407714844e-05
A-L1,8,0,1,EnlargeWithAncilla,2.5987625122070312e-05
A-L1,8,0,1,ApplyLayout,0.0002856254577636719
