backend,twoq,tape_seed,arm,routed_2q,n_1q,size,depth,tvd_noisy,psf_fallbacks
FakeSherbrooke,ecr,2,A,6,60,66,19,0.01768126365421937,
FakeSherbrooke,ecr,2,Z,6,64,70,19,0.017180953482660383,
FakeSherbrooke,ecr,2,P,6,64,70,19,0.017180953482660383,0
FakeSherbrooke,ecr,2,T,6,74,80,23,0.016247614776011703,
FakeSherbrooke,ecr,3,A,6,60,66,19,0.011541757591534309,
FakeSherbrooke,ecr,3,Z,6,64,70,19,0.010867266200688066,
FakeSherbrooke,ecr,3,P,6,64,70,19,0.011248429538085383,0
FakeSherbrooke,ecr,3,T,6,74,80,23,0.012675757073363459,
FakeSherbrooke,ecr,4,A,6,60,66,19,0.017829337552352862,
FakeSherbrooke,ecr,4,Z,6,64,70,19,0.018552420285548477,
FakeSherbrooke,ecr,4,P,6,64,70,19,0.01808242028554848,0
FakeSherbrooke,ecr,4,T,6,74,80,23,0.023989337552352857,
FakeStrasbourg,ecr,0,A,6,78,84,23,0.05097681796282503,
FakeStrasbourg,ecr,0,Z,6,68,74,21,0.05061681796282503,
FakeStrasbourg,ecr,0,P,6,68,74,21,0.05338681796282502,0
FakeStrasbourg,ecr,0,T,6,74,80,23,0.04293681796282504,
FakeStrasbourg,ecr,1,A,6,78,84,23,0.02538990983010856,
FakeStrasbourg,ecr,1,Z,6,68,74,21,0.027479909830108572,
FakeStrasbourg,ecr,1,P,6,68,74,21,0.027519909830108585,0
FakeStrasbourg,ecr,1,T,6,74,80,23,0.03158242723019476,
FakeStrasbourg,ecr,2,A,6,78,84,23,0.029881263654219368,
FakeStrasbourg,ecr,2,Z,6,68,74,21,0.026201263654219376,
FakeStrasbourg,ecr,2,P,6,68,74,21,0.026201263654219376,0
FakeStrasbourg,ecr,2,T,6,74,80,23,0.02304095348266038,
FakeStrasbourg,ecr,3,A,6,78,84,23,0.016678676965362037,
FakeStrasbourg,ecr,3,Z,6,68,74,21,0.015419524424993876,
FakeStrasbourg,ecr,3,P,6,68,74,21,0.016674951179811943,0
FakeStrasbourg,ecr,3,T,6,74,80,23,0.016865757073363442,
FakeStrasbourg,ecr,4,A,6,78,84,23,0.03182933755235288,
FakeStrasbourg,ecr,4,Z,6,68,74,21,0.03576933755235286,
FakeStrasbourg,ecr,4,P,6,68,74,21,0.03371933755235287,0
